playerID,awardID,yearID,lgID,tie,notes
abreujo02,Player of the Week,2017,AL,,Week of 2017-05-27
abreujo02,Player of the Week,2020,AL,,Week of 2020-08-22
abreujo02,Player of the Week,2021,AL,,Week of 2021-05-29
abreujo02,Rookie of the Month,2014,AL,,April
abreujo02,Rookie of the Month,2014,AL,,July
abreujo02,Rookie of the Month,2014,AL,,June
abreujo02,Rookie of the Year,2014,AL,,
abreujo02,Silver Slugger,2014,AL,,1B
abreujo02,Silver Slugger,2018,AL,,1B
abreujo02,Silver Slugger,2020,AL,,1B
abreujo02,This Year in Baseball Rookie of the Year,2014,ML,,MLB.com GIBBY
abreujo02,TSN All-Star,2020,AL,,1B
abreujo02,TSN All-Star,2022,AL,,1B
abreujo02,TSN Major League Player of the Year,2020,ML,,
abreujo02,TSN Rookie of the Year,2014,AL,,
abreuwi02,Gold Glove,2024,AL,,RF
abreuwi02,Gold Glove,2025,AL,,RF
acunaro01,All-MLB Team - First Team,2023,ML,,OF
acunaro01,All-MLB Team - Second Team,2019,ML,,OF
acunaro01,All-MLB Team - Second Team,2020,ML,,OF
acunaro01,Comeback Player of the Year,2025,NL,,
acunaro01,Hank Aaron Award,2023,NL,,
acunaro01,MLB Players Choice Comeback Player,2022,NL,,
acunaro01,MLB Players Choice Outstanding Player,2023,NL,,
acunaro01,MLB Players Choice Outstanding Rookie,2018,NL,,
acunaro01,MLB Players Choice Player of the Year,2023,ML,,
acunaro01,Most Valuable Player,2023,NL,,
acunaro01,Player of the Month,2021,NL,,April
acunaro01,Player of the Month,2023,NL,,April
acunaro01,Player of the Month,2023,NL,,June
acunaro01,Player of the Month,2023,NL,,September
acunaro01,Player of the Week,2018,NL,,Week of 2018-08-18
acunaro01,Player of the Week,2019,NL,,Week of 2019-04-13
acunaro01,Player of the Week,2021,NL,,Week of 2021-04-17
acunaro01,Player of the Week,2023,NL,,Week of 2023-07-01
acunaro01,Player of the Week,2025,NL,,Week of 2025-06-14
acunaro01,Rookie of the Month,2018,NL,,August
acunaro01,Rookie of the Year,2018,NL,,
acunaro01,Silver Slugger,2019,NL,,OF
acunaro01,Silver Slugger,2020,NL,,OF
acunaro01,Silver Slugger,2023,NL,,OF
acunaro01,TSN All-Star,2018,NL,,OF
acunaro01,TSN All-Star,2019,NL,,OF
acunaro01,TSN All-Star,2020,NL,,OF
acunaro01,TSN All-Star,2023,NL,,OF
acunaro01,TSN Major League Player of the Year,2023,ML,,
acunaro01,TSN Rookie of the Year,2018,NL,,
adamewi01,Player of the Week,2021,NL,,Week of 2021-07-17
adamewi01,Player of the Week,2022,NL,,Week of 2022-04-30
adamewi01,Player of the Week,2024,NL,,Week of 2024-06-01
adamsba01,Baseball Magazine All-Star,1909,ML,,P4
adamsba01,Baseball Magazine All-Star,1909,NL,,P5
adelljo01,Player of the Week,2025,AL,,Week of 2025-09-06
affelje01,This Year in Baseball Setup Man of the Year,2009,ML,,MLB.com GIBBY
ageeto01,Gold Glove,1966,AL,,OF
ageeto01,Gold Glove,1970,NL,,OF
ageeto01,Rookie of the Year,1966,AL,,
ageeto01,TSN Comeback Player of the Year,1969,NL,,
ageeto01,TSN Rookie Player of the Year,1966,AL,,
aguilri01,Pitcher of the Month,1993,AL,,June
ahmedni01,Gold Glove,2018,NL,,SS
ahmedni01,Gold Glove,2019,NL,,SS
ahmedni01,Player of the Month,2019,NL,Y,August
ainsmed01,Baseball Magazine All-Star,1912,AL,,C2
akerja01,TSN Fireman of the Year,1966,AL,,
albieoz01,All-MLB Team - Second Team,2021,ML,,2B
albieoz01,All-MLB Team - Second Team,2023,ML,,2B
albieoz01,Player of the Week,2021,NL,,Week of 2021-07-03
albieoz01,Silver Slugger,2019,NL,,2B
albieoz01,Silver Slugger,2021,NL,,2B
albieoz01,TSN All-Star,2021,NL,,2B
albieoz01,TSN All-Star,2023,NL,,2B
alcansa01,All-MLB Team - First Team,2022,ML,,SP
alcansa01,Cy Young Award,2022,NL,,
alcansa01,MLB Players Choice Outstanding Pitcher,2022,NL,,
alcansa01,Pitcher of the Month,2022,NL,,June
alcansa01,Player of the Week,2022,NL,,Week of 2022-05-21
alcansa01,TSN All-Star,2022,NL,,SP
alcansa01,TSN Pitcher of the Year,2022,NL,,
alexado01,Pitcher of the Month,1984,AL,,September
alexado01,Pitcher of the Month,1987,AL,,September
alexaga01,Player of the Week,1978,AL,,Week of 1978-06-30
alexape01,Baseball Magazine All-Star,1911,ML,,P3
alexape01,Baseball Magazine All-Star,1911,NL,,P3
alexape01,Baseball Magazine All-Star,1913,NL,,P2
alexape01,Baseball Magazine All-Star,1914,ML,,P1
alexape01,Baseball Magazine All-Star,1914,NL,,P1
alexape01,Baseball Magazine All-Star,1915,ML,,P1
alexape01,Baseball Magazine All-Star,1915,NL,,P1
alexape01,Baseball Magazine All-Star,1916,ML,,P1
alexape01,Baseball Magazine All-Star,1916,NL,,P1
alexape01,Baseball Magazine All-Star,1917,ML,,P1
alexape01,Baseball Magazine All-Star,1917,NL,,P1
alexape01,Baseball Magazine All-Star,1920,ML,,P1
alexape01,Baseball Magazine All-Star,1920,NL,,P1
alexape01,Baseball Magazine All-Star,1923,ML,,P3
alexape01,Baseball Magazine All-Star,1923,NL,,P3
alexape01,Baseball Magazine All-Star,1925,NL,,P2
alexape01,Baseball Magazine All-Star,1927,NL,,P3
alexape01,Pitching Triple Crown,1915,NL,,
alexape01,Pitching Triple Crown,1916,NL,,
alexape01,Pitching Triple Crown,1920,NL,,
alexape01,TSN All-Star,1926,ML,,P
alfonan01,Reliever of the Year Award,2000,NL,,
alfonan01,TSN Fireman of the Year,2000,NL,,
alfoned01,Silver Slugger,1999,NL,,2B
alfoned01,TSN All-Star,1999,NL,,2B
allenco01,Reliever of the Month,2017,AL,,April
allendi01,Most Valuable Player,1972,AL,,
allendi01,Player of the Week,1974,AL,,Week of 1974-06-07
allendi01,Player of the Week,1974,AL,Y,Week of 1974-07-19
allendi01,Rookie of the Year,1964,NL,,
allendi01,TSN All-Star,1972,AL,,1B
allendi01,TSN All-Star,1974,AL,,1B
allendi01,TSN Player of the Year,1972,AL,,
allendi01,TSN Rookie Player of the Year,1964,NL,,
allenjo02,Baseball Magazine All-Star,1936,AL,,P4
allenjo02,Baseball Magazine All-Star,1937,AL,,P4
allenjo02,Baseball Magazine All-Star,1938,AL,,P4
allenjo02,TSN Major League Player of the Year,1937,ML,,
allenne01,Player of the Week,1980,NL,,Week of 1980-07-04
allenne01,Player of the Week,1981,NL,Y,Week of 1981-08-21
allenne01,Player of the Week,1983,NL,,Week of 1983-07-22
alleyge01,Gold Glove,1966,NL,,SS
alleyge01,Gold Glove,1967,NL,,SS
alleyge01,TSN All-Star,1966,NL,,SS
alleyge01,TSN All-Star,1967,NL,,SS
allisbo01,Rookie of the Year,1959,AL,,
allisbo01,TSN Rookie of the Year,1959,AL,,
alomaro01,ALCS MVP,1992,AL,,
alomaro01,All-Star Game MVP,1998,ML,,
alomaro01,Gold Glove,1991,AL,,2B
alomaro01,Gold Glove,1992,AL,,2B
alomaro01,Gold Glove,1993,AL,,2B
alomaro01,Gold Glove,1994,AL,,2B
alomaro01,Gold Glove,1995,AL,,2B
alomaro01,Gold Glove,1996,AL,,2B
alomaro01,Gold Glove,1998,AL,,2B
alomaro01,Gold Glove,1999,AL,,2B
alomaro01,Gold Glove,2000,AL,,2B
alomaro01,Gold Glove,2001,AL,,2B
alomaro01,Player of the Month,1992,AL,,April
alomaro01,Player of the Week,1992,AL,,Week of 1992-04-25
alomaro01,Player of the Week,1999,AL,,Week of 1999-07-31
alomaro01,Silver Slugger,1992,AL,,2B
alomaro01,Silver Slugger,1996,AL,,2B
alomaro01,Silver Slugger,1999,AL,,2B
alomaro01,Silver Slugger,2000,AL,,2B
alomaro01,TSN All-Star,1992,AL,,2B
alomaro01,TSN All-Star,1996,AL,,2B
alomaro01,TSN All-Star,1998,AL,,2B
alomaro01,TSN All-Star,1999,AL,,2B
alomaro01,TSN All-Star,2000,AL,,2B
alomasa02,All-Star Game MVP,1997,ML,,
alomasa02,Gold Glove,1990,AL,,C
alomasa02,Player of the Week,1997,AL,,Week of 1997-04-12
alomasa02,Rookie of the Year,1990,AL,,
alomasa02,TSN Rookie Player of the Year,1990,AL,,
alonspe01,All-MLB Team - First Team,2019,ML,,1B
alonspe01,MLB Players Choice Outstanding Rookie,2019,NL,,
alonspe01,Player of the Week,2019,NL,,Week of 2019-06-22
alonspe01,Player of the Week,2022,NL,Y,Week of 2022-09-24
alonspe01,Player of the Week,2023,NL,,Week of 2023-07-29
alonspe01,Player of the Week,2024,NL,,Week of 2024-04-13
alonspe01,Player of the Week,2025,NL,,Week of 2025-06-07
alonspe01,Rookie of the Month,2019,NL,,April
alonspe01,Rookie of the Month,2019,NL,,June
alonspe01,Rookie of the Month,2019,NL,,September
alonspe01,Rookie of the Year,2019,NL,,
alonspe01,Silver Slugger,2025,NL,,1B
alonspe01,TSN All-Star,2025,NL,,1B
alonspe01,TSN Rookie of the Year,2019,NL,,
alonsyo01,Player of the Week,2017,AL,,Week of 2017-05-06
aloufe01,TSN All-Star,1966,NL,,1B
alouma01,TSN All-Star,1969,NL,,OF
aloumo01,Babe Ruth Award,1997,NL,,OF
aloumo01,Player of the Week,1993,NL,,Week of 1993-07-10
aloumo01,Player of the Week,1994,NL,,Week of 1994-06-11
aloumo01,Player of the Week,1998,NL,,Week of 1998-05-30
aloumo01,Player of the Week,2002,NL,,Week of 2002-09-07
aloumo01,Silver Slugger,1994,NL,,OF
aloumo01,Silver Slugger,1998,NL,,OF
aloumo01,TSN All-Star,1994,NL,,OF
aloumo01,TSN All-Star,1998,NL,,OF
altuvjo01,ALCS MVP,2019,AL,,
altuvjo01,All-MLB Team - First Team,2022,ML,,2B
altuvjo01,All-MLB Team - Second Team,2019,ML,,2B
altuvjo01,All-MLB Team - Second Team,2024,ML,,2B
altuvjo01,Babe Ruth Award,2017,ML,Y,
altuvjo01,Gold Glove,2015,AL,,2B
altuvjo01,Hank Aaron Award,2017,AL,,
altuvjo01,Lou Gehrig Memorial Award,2016,ML,,
altuvjo01,Majestic Athletic Always Game Award,2015,ML,,
altuvjo01,Majestic Athletic Always Game Award,2016,ML,,
altuvjo01,MLB Players Choice Outstanding Player,2016,AL,,
altuvjo01,MLB Players Choice Outstanding Player,2017,AL,,
altuvjo01,MLB Players Choice Player of the Year,2016,ML,,
altuvjo01,MLB Players Choice Player of the Year,2017,ML,,
altuvjo01,Most Valuable Player,2017,AL,,
altuvjo01,Player of the Month,2016,AL,,June
altuvjo01,Player of the Month,2017,AL,,July
altuvjo01,Player of the Week,2015,AL,Y,Week of 2015-05-03
altuvjo01,Player of the Week,2016,AL,Y,Week of 2016-04-16
altuvjo01,Player of the Week,2017,AL,,Week of 2017-07-08
altuvjo01,Player of the Week,2023,AL,,Week of 2023-08-12
altuvjo01,Player of the Week,2023,AL,,Week of 2023-09-09
altuvjo01,Silver Slugger,2014,AL,,2B
altuvjo01,Silver Slugger,2015,AL,,2B
altuvjo01,Silver Slugger,2016,AL,,2B
altuvjo01,Silver Slugger,2017,AL,,2B
altuvjo01,Silver Slugger,2018,AL,,2B
altuvjo01,Silver Slugger,2022,AL,,2B
altuvjo01,Silver Slugger,2024,AL,,2B
altuvjo01,This Year in Baseball Best Major Leaguer,2017,ML,,Esurance
altuvjo01,This Year in Baseball Best Major Leaguer - Postseason,2017,ML,Y,Esurance
altuvjo01,This Year in Baseball Breakout Hitter of the Year,2014,ML,,MLB.com GIBBY
altuvjo01,This Year in Baseball Breakout Player of the Year,2014,ML,,MLB.com GIBBY
altuvjo01,TSN All-Star,2016,AL,,2B
altuvjo01,TSN All-Star,2017,AL,,2B
altuvjo01,TSN All-Star,2018,AL,,2B
altuvjo01,TSN All-Star,2024,AL,,2B
altuvjo01,TSN Major League Player of the Year,2016,ML,,
altuvjo01,TSN Major League Player of the Year,2017,ML,,
alvarfr01,Rookie of the Month,2023,NL,,July
alvarhe01,Player of the Week,2013,NL,,Week of 2013-09-29
alvarpe01,Player of the Week,2010,NL,,Week of 2010-09-26
alvarpe01,Player of the Week,2012,NL,,Week of 2012-09-03
alvarpe01,Player of the Week,2013,NL,,Week of 2013-06-23
alvarpe01,Rookie of the Month,2010,NL,,September
alvarpe01,Silver Slugger,2013,NL,,3B
alvarwi01,Pitcher of the Month,1993,AL,,September
alvarwi01,Player of the Week,1991,AL,,Week of 1991-08-10
alvaryo01,ALCS MVP,2021,AL,,
alvaryo01,All-MLB Team - First Team,2022,ML,,DH
alvaryo01,All-MLB Team - Second Team,2019,ML,,DH
alvaryo01,All-MLB Team - Second Team,2021,ML,,DH
alvaryo01,All-MLB Team - Second Team,2023,ML,,DH
alvaryo01,All-MLB Team - Second Team,2024,ML,,DH
alvaryo01,MLB Players Choice Outstanding Rookie,2019,AL,,
alvaryo01,Player of the Month,2022,AL,,June
alvaryo01,Player of the Month,2023,AL,,September
alvaryo01,Player of the Week,2022,AL,,Week of 2022-06-04
alvaryo01,Player of the Week,2022,AL,,Week of 2022-09-17
alvaryo01,Player of the Week,2024,AL,,Week of 2024-08-10
alvaryo01,Rookie of the Month,2019,AL,,August
alvaryo01,Rookie of the Month,2019,AL,,July
alvaryo01,Rookie of the Month,2019,AL,,June
alvaryo01,Rookie of the Year,2019,AL,,
alvaryo01,Silver Slugger,2022,AL,,DH
alvaryo01,TSN All-Star,2022,AL,,DH
alvaryo01,TSN All-Star,2024,AL,,DH
alvaryo01,TSN Rookie of the Year,2019,AL,,
amaroru01,Gold Glove,1964,NL,,SS
anderbr01,Player of the Week,1996,AL,,Week of 1996-04-13
anderbr02,TSN Rookie Pitcher of the Year,1994,AL,,
anderbr04,Rookie of the Month,2009,AL,,September
anderco01,Pitcher of the Month,2015,AL,,September
anderga01,All-Star Game MVP,2003,ML,,
anderga01,Player of the Month,1995,AL,,July
anderga01,Player of the Week,2003,AL,,Week of 2003-06-07
anderga01,Player of the Week,2003,AL,,Week of 2003-07-12
anderga01,Silver Slugger,2002,AL,,OF
anderga01,Silver Slugger,2003,AL,,OF
anderga01,TSN All-Star,2002,AL,,OF
anderga01,TSN All-Star,2003,AL,,OF
anderga01,TSN Rookie Player of the Year,1995,AL,,
anderni01,All-MLB Team - First Team,2020,ML,,RP
anderti01,Player of the Month,2019,AL,,April
anderti01,Silver Slugger,2020,AL,,SS
anderti01,TSN All-Star,2020,AL,,SS
andrero01,Player of the Week,1977,NL,,Week of 1977-06-17
andruel01,This Year in Baseball Defensive Player of the Year,2010,ML,,MLB.com GIBBY
andujjo01,Gold Glove,1984,NL,,P
andujjo01,Pitcher of the Month,1979,NL,,June
andujjo01,Pitcher of the Month,1982,NL,,September
andujjo01,Player of the Week,1976,NL,,Week of 1976-06-04
andujjo01,Player of the Week,1984,NL,,Week of 1984-05-18
andujjo01,Player of the Week,1984,NL,,Week of 1984-09-28
andujjo01,TSN Comeback Player of the Year,1984,NL,,
andujmi01,MLB Players Choice Outstanding Rookie,2018,AL,,
andujmi01,Rookie of the Month,2018,AL,,August
andujmi01,Rookie of the Month,2018,AL,,June
andujmi01,TSN Rookie of the Year,2018,AL,,
ankieri01,TSN Rookie Pitcher of the Year,2000,NL,,
antonjo02,TSN All-Star,1954,ML,,P
antonjo02,TSN All-Star,1959,ML,,P
antonjo02,TSN Pitcher of the Year,1954,NL,,
aparilu01,Gold Glove,1958,AL,,SS
aparilu01,Gold Glove,1959,AL,,SS
aparilu01,Gold Glove,1960,AL,,SS
aparilu01,Gold Glove,1961,AL,,SS
aparilu01,Gold Glove,1962,AL,,SS
aparilu01,Gold Glove,1964,AL,,SS
aparilu01,Gold Glove,1966,AL,,SS
aparilu01,Gold Glove,1968,AL,,SS
aparilu01,Gold Glove,1970,AL,,SS
aparilu01,Rookie of the Year,1956,AL,,
aparilu01,TSN All-Star,1963,AL,,SS
aparilu01,TSN All-Star,1966,AL,,SS
aparilu01,TSN All-Star,1968,AL,,SS
aparilu01,TSN All-Star,1970,AL,,SS
aparilu01,TSN All-Star,1972,AL,,SS
aparilu01,TSN Rookie of the Year,1956,AL,,
appieke01,Pitcher of the Month,1992,AL,,July
appieke01,Pitcher of the Month,1995,AL,,June
appieke01,Player of the Week,1993,AL,,Week of 1993-09-18
appieke01,TSN Rookie Pitcher of the Year,1990,AL,,
applilu01,Baseball Magazine All-Star,1936,AL,,SS
applilu01,Baseball Magazine All-Star,1936,ML,,SS
applilu01,Baseball Magazine All-Star,1937,AL,,SS
applilu01,Baseball Magazine All-Star,1937,ML,,SS
applilu01,Baseball Magazine All-Star,1940,AL,,SS
applilu01,Baseball Magazine All-Star,1940,ML,,SS
applilu01,Baseball Magazine All-Star,1943,AL,,SS
applilu01,TSN All-Star,1936,ML,,SS
applilu01,TSN All-Star,1940,ML,,SS
applilu01,TSN All-Star,1943,ML,,SS
aquinar01,Player of the Month,2019,NL,Y,August
aquinar01,Player of the Week,2019,NL,,Week of 2019-08-10
aquinar01,Rookie of the Month,2019,NL,,August
archech01,Pitcher of the Month,2013,AL,,July
archech01,Player of the Week,2015,AL,,Week of 2015-06-07
archech01,Rookie of the Month,2013,AL,,July
archech01,This Year in Baseball Best Social Media Personality,2015,ML,,Esurance
archeji01,Baseball Magazine All-Star,1910,ML,,C2
archeji01,Baseball Magazine All-Star,1910,NL,,C2
archeji01,Baseball Magazine All-Star,1911,NL,,C4
archeji01,Baseball Magazine All-Star,1912,ML,,C1
archeji01,Baseball Magazine All-Star,1912,NL,,C1
archeji01,Baseball Magazine All-Star,1913,ML,,C
archeji01,Baseball Magazine All-Star,1913,NL,,C
archeji01,Baseball Magazine All-Star,1914,ML,,C1
archeji01,Baseball Magazine All-Star,1914,NL,,C1
arenano01,All-MLB Team - Second Team,2022,ML,,3B
arenano01,Gold Glove,2013,NL,,3B
arenano01,Gold Glove,2014,NL,,3B
arenano01,Gold Glove,2015,NL,,3B
arenano01,Gold Glove,2016,NL,,3B
arenano01,Gold Glove,2017,NL,,3B
arenano01,Gold Glove,2018,NL,,3B
arenano01,Gold Glove,2019,NL,,3B
arenano01,Gold Glove,2020,NL,,3B
arenano01,Gold Glove,2021,NL,,3B
arenano01,Gold Glove,2022,NL,,3B
arenano01,Majestic Athletic Always Game Award,2017,ML,,
arenano01,Platinum Glove,2017,NL,,
arenano01,Platinum Glove,2018,NL,,
arenano01,Platinum Glove,2019,NL,,
arenano01,Platinum Glove,2020,NL,,
arenano01,Platinum Glove,2021,NL,,
arenano01,Platinum Glove,2022,NL,,
arenano01,Player of the Month,2015,NL,,September
arenano01,Player of the Month,2017,NL,,July
arenano01,Player of the Month,2022,NL,,April
arenano01,Player of the Month,2022,NL,,August
arenano01,Player of the Week,2014,NL,,Week of 2014-08-24
arenano01,Player of the Week,2015,NL,,Week of 2015-06-28
arenano01,Player of the Week,2016,NL,Y,Week of 2016-04-16
arenano01,Player of the Week,2017,NL,,Week of 2017-07-22
arenano01,Player of the Week,2018,NL,,Week of 2018-06-23
arenano01,Player of the Week,2019,NL,,Week of 2019-05-25
arenano01,Player of the Week,2022,NL,,Week of 2022-04-09
arenano01,Player of the Week,2022,NL,,Week of 2022-08-06
arenano01,Silver Slugger,2015,NL,,3B
arenano01,Silver Slugger,2016,NL,,3B
arenano01,Silver Slugger,2017,NL,,3B
arenano01,Silver Slugger,2018,NL,,3B
arenano01,Silver Slugger,2022,NL,,3B
arenano01,This Year in Baseball Best Defensive Player,2017,ML,,Esurance
arenano01,This Year in Baseball Best Play - Offense,2017,ML,,Esurance
arenano01,TSN All-Star,2018,NL,,3B
arenano01,TSN All-Star,2022,NL,,3B
arencjp01,Player of the Week,2012,AL,,Week of 2012-05-20
armasto01,Player of the Month,1984,AL,,June
armasto01,Player of the Week,1981,AL,,Week of 1981-04-10
armasto01,Player of the Week,1981,AL,,Week of 1981-04-17
armasto01,Player of the Week,1983,AL,,Week of 1983-06-03
armasto01,Player of the Week,1985,AL,,Week of 1985-05-10
armasto01,Player of the Week,1985,AL,,Week of 1985-08-30
armasto01,Silver Slugger,1984,AL,,OF
armasto01,TSN All-Star,1981,AL,,OF
armasto01,TSN All-Star,1984,AL,,OF
armasto01,TSN Player of the Year,1981,AL,,
armstja01,Pitcher of the Month,1990,NL,,May
arozara01,ALCS MVP,2020,AL,,
arozara01,Babe Ruth Award,2020,ML,,
arozara01,Rookie of the Year,2021,AL,,
arraelu01,Player of the Week,2024,NL,,Week of 2024-05-25
arraelu01,Silver Slugger,2022,AL,,UT
arraelu01,Silver Slugger,2023,NL,,2B
arrieja01,Cy Young Award,2015,NL,,
arrieja01,Pitcher of the Month,2015,NL,,August
arrieja01,Pitcher of the Month,2015,NL,,September
arrieja01,Pitcher of the Month,2016,NL,,April
arrieja01,Pitcher of the Month,2017,NL,,August
arrieja01,Player of the Week,2015,NL,,Week of 2015-07-12
arrieja01,Player of the Week,2015,NL,,Week of 2015-08-30
arrieja01,Player of the Week,2015,NL,,Week of 2015-09-27
arrieja01,Player of the Week,2016,NL,,Week of 2016-04-23
arrieja01,Silver Slugger,2016,NL,,P
arrieja01,This Year in Baseball Best Breakout Player,2015,ML,,Esurance
arrieja01,This Year in Baseball Best Pitcher,2015,ML,,Esurance
arrigsp01,Rookie of the Month,2024,AL,,August
arrojro01,TSN Rookie Pitcher of the Year,1998,AL,,
arroybr01,Gold Glove,2010,NL,,P
arroybr01,Player of the Week,2008,NL,Y,Week of 2008-08-30
arroylu01,TSN Fireman of the Year,1961,AL,,
ashburi01,TSN Rookie of the Year,1948,ML,,
atkinga01,Player of the Week,2006,NL,,Week of 2006-04-08
atkinga01,Player of the Week,2006,NL,,Week of 2006-09-30
atkinga01,Rookie of the Month,2005,NL,,June
aurilri01,Player of the Week,2001,NL,,Week of 2001-07-28
aurilri01,Player of the Week,2003,NL,,Week of 2003-07-19
aurilri01,Silver Slugger,2001,NL,,SS
aurilri01,TSN All-Star,2001,NL,,SS
ausmubr01,Gold Glove,2001,NL,,C
ausmubr01,Gold Glove,2002,NL,,C
ausmubr01,Gold Glove,2006,NL,,C
averiea01,Baseball Magazine All-Star,1930,AL,,CF
averiea01,Baseball Magazine All-Star,1931,AL,,CF
averiea01,Baseball Magazine All-Star,1932,AL,,CF
averiea01,Baseball Magazine All-Star,1933,AL,,OF
averiea01,Baseball Magazine All-Star,1936,AL,,CF
averiea01,Baseball Magazine All-Star,1936,ML,,CF
averiea01,Baseball Magazine All-Star,1938,AL,,RF
averiea01,TSN All-Star,1931,ML,,OF
averiea01,TSN All-Star,1932,ML,,OF
averiea01,TSN All-Star,1934,ML,,OF
averiea01,TSN All-Star,1936,ML,,OF
averyst01,NLCS MVP,1991,NL,,
averyst01,Player of the Week,1991,NL,Y,Week of 1991-09-14
averyst01,Player of the Week,1993,NL,Y,Week of 1993-06-12
averyst01,TSN All-Star,1993,NL,,LHP
avilaal01,Silver Slugger,2011,AL,,C
avilabo01,TSN All-Star,1954,ML,,2B
avilemi01,Player of the Week,2008,AL,Y,Week of 2008-08-02
axforjo01,Reliever of the Month,2011,ML,,July
axforjo01,Reliever of the Year Award,2011,NL,,
ayalabo01,TSN Player of the Year,1954,AL,,
aybarer01,Gold Glove,2011,AL,,SS
aybarer01,Player of the Week,2011,AL,Y,Week of 2011-09-18
baderha01,Gold Glove,2021,NL,,RF
baderha01,Player of the Week,2021,NL,,Week of 2021-09-25
baergca01,Player of the Week,1993,AL,,Week of 1993-04-10
baergca01,Player of the Week,1993,AL,Y,Week of 1993-07-24
baergca01,Silver Slugger,1993,AL,,2B
baergca01,Silver Slugger,1994,AL,,2B
baergca01,TSN All-Star,1993,AL,,2B
baergca01,TSN All-Star,1995,AL,,2B
baezja01,Gold Glove,2020,NL,,SS
baezja01,NLCS MVP,2016,NL,Y,Co-MVP
baezja01,Player of the Week,2018,NL,,Week of 2018-06-30
baezja01,Silver Slugger,2018,NL,,2B
baezja01,TSN All-Star,2018,NL,,2B
bagbyji01,Baseball Magazine All-Star,1920,AL,,P1
bagbyji01,Baseball Magazine All-Star,1920,ML,,P2
bagbyji02,Baseball Magazine All-Star,1942,AL,,P3
bagweje01,Gold Glove,1994,NL,,1B
bagweje01,MLB Players Choice Outstanding Player,1994,NL,,
bagweje01,Most Valuable Player,1994,NL,,
bagweje01,Player of the Month,1993,NL,,May
bagweje01,Player of the Month,1994,NL,,July
bagweje01,Player of the Month,1994,NL,,June
bagweje01,Player of the Month,1996,NL,,May
bagweje01,Player of the Month,2001,NL,,July
bagweje01,Player of the Week,1993,NL,,Week of 1993-05-22
bagweje01,Player of the Week,1994,NL,,Week of 1994-06-18
bagweje01,Player of the Week,1994,NL,,Week of 1994-06-25
bagweje01,Player of the Week,1994,NL,,Week of 1994-07-23
bagweje01,Player of the Week,1997,NL,,Week of 1997-04-26
bagweje01,Player of the Week,2000,NL,,Week of 2000-08-12
bagweje01,Rookie of the Year,1991,NL,,
bagweje01,Silver Slugger,1994,NL,,1B
bagweje01,Silver Slugger,1997,NL,,1B
bagweje01,Silver Slugger,1999,NL,,1B
bagweje01,TSN All-Star,1994,NL,,1B
bagweje01,TSN All-Star,1996,NL,,1B
bagweje01,TSN All-Star,1997,NL,,1B
bagweje01,TSN All-Star,1999,NL,,1B
