ID,parkalias,parkkey,parkname,city,state,country
551,Owen J. Bush Stadium; Bush Stadium; Victory Field I,IND09,Perry Stadium,Indianapolis,IN,US
552,Washington Baseball Park; Washington Baseball Grounds; West Washington Street Park,IND10,Washington Park II,Indianapolis,IN,US
553,J. P. Small Memorial Stadium; Barrs Field; Myrtle Avenue Ball Park; Red Cap Stadium,JAX01,Durkee Field,Jacksonville,FL,US
554,Skeeters Park,JER03,West Side Park,Jersey City,NJ,US
555,,KAN07,Association Park II,Kansas City,MO,US
556,,KAN08,Riverside Park,Kansas City,KS,US
557,,KAN09,Shelley Park,Kansas City,MO,US
558,Colonels Field,LOU05,Parkway Field,Louisville,KY,US
559,Crump's Park,LRO01,Crump Park,Little Rock,AR,US
560,State Hospital Field,MDN01,State Hospital Grounds,Middletown,NY,US
561,,MEA01,Athletic Park,Meadville,PA,US
562,Martin Stadium; Martin Park,MEM01,Lewis Park,Memphis,TN,US
563,Elm Wood Park; Red Elm Park,MEM02,Russwood Park,Memphis,TN,US
564,,MNR01,Casino Park,Monroe,LA,US
565,,MTG01,College Hill Park,Montgomery,AL,US
566,Heinemann Park,NOL01,Pelican Stadium,New Orleans,LA,US
567,Sulphur Spring Park; Athletic Park,NSH01,Sulphur Dell,Nashville,TN,US
568,Tom Wilson Park,NSH02,Wilson Park,Nashville,TN,US
569,Ruppert Stadium; Davids' stadium,NWK02,Davids Stadium,Newark,NJ,US
570,Ollemar Field,NWK03,Ollemar Stadium,Irvington,NJ,US
571,,NYC22,Brighton Oval,Brooklyn,NY,US
572,,NYC23,Dexter Park,Queens,NY,US
573,,NYC24,Dyckman Oval,New York,NY,US
574,,NYC25,Lenox Oval,New York,NY,US
575,,NYC26,Meyerrose Park,Queens,NY,US
576,,NYC27,New York Oval,Bronx,NY,US
577,,NYC28,Olympic Field,New York,NY,US
578,,NYC29,Saratoga Park,Brooklyn,NY,US
579,Saratoga Park,OKC01,Colcord Park,Oklahoma City,OK,US
580,,PAT01,Hinchliffe Stadium,Paterson,NJ,US
581,P.R.R. YMCA Athletic Field; PRR-YMCA Field; Penmar Park; Parkside Athletic Field; 44th and Parkside ballpark,PHI15,44th & Parkside,Philadelphia,PA,US
582,,PHI16,Passon Field,Philadelphia,PA,US
583,Bala Cynwyd Park; Pencoyd Park,PHI17,Pencoyd Field,Philadelphia,PA,US
584,Central Amusement Park,PIT09,Central Park,Pittsburgh,PA,US
585,,PIT10,Greenlee Field,Pittsburgh,PA,US
586,Silver Stadium,ROC04,Red Wing Stadium,Rochester,NY,US
587,Van Slyck Island,SCH01,Island Park,Schenectady,NY,US
588,,SPA02,Downtown Park,St. Paul,MN,US
589,,STL11,Brock's Park,St. Louis,MO,US
590,Christian Brothers College High School; CBC High School,STL12,Christian Brothers College Diamond,St. Louis,MO,US
591,Metropolitan Park,STL13,Giants Park II,St. Louis,MO,US
592,Kuebler's Park; Giants Park I,STL14,Kuebler Park,St. Louis,MO,US
593,South End Park; National Nite Baseball Park,STL15,South End Grounds,St. Louis,MO,US
594,,STL16,Stars Park,St. Louis,MO,US
595,Tigers' Field; Tigers Field,STL17,Tiger Field,St. Louis,MO,US
596,,TOL05,Swayne Field,Toledo,OH,US
597,,WBS01,Sprudel Park,West Baden Springs,IN,US
598,,WIL03,Harlan Field,Wilmington,DE,US
599,,YEA01,Hilldale Park,Yeadon,PA,US
600,,SAC01,Sutter Health Field,West Sacramento,CA,US
601,Legends Field,TAM02,George M. Steinbrenner Field,Tampa,FL,US
602,Bristol International Raceway; Bristol International Speedway,BST01,Bristol Motor Speedway,Bristol,TN,US
