franchID,franchName,active,NAassoc
LGR,Louisville Grays,N,
LOU,Louisville Colonels,N,
LRG,Little Rock Grays,N,
LVB,Louisville Black Caps,N,
MAN,Middletown Mansfields,NA,
MAR,Baltimore Marylands,NA,
MB,Milwaukee Bears,N,
MGS,Montgomery Grey Sox,N,
MIL,Milwaukee Brewers,Y,
MIN,Minnesota Twins,Y,
MLA,Milwaukee Brewers,N,
MLG,Milwaukee Grays,N,
MLU,Milwaukee Brewers,N,
MOH,Schenectady Mohawk Giants,N,
MRM,Monroe Monarchs,N,
MRS,Memphis Red Sox,N,
NAT,Washington Nationals,NA,
NBY,New York Black Yankees,N,
ND,Newark Dodgers,N,
NE,Newark Eagles,N,
NEW,Newark Pepper,N,
NHV,New Haven Elm Citys,NA,
NLG,New York Lincoln Giants,N,
NLS,New York Lincoln Stars,N,
NNA,New York Mutuals,NA,NYU
NS,Newark Stars,N,
NWB,Newark Browns,N,
NYC,New York Cubans,N,
NYI,New York Giants,N,
NYM,New York Mets,Y,
NYP,New York Metropolitans,N,
NYU,New York Mutuals,N,NNA
NYY,New York Yankees,Y,
OAK,Oakland Athletics,Y,
OKM,Oklahoma Monarchs,N,
OLY,Washington Olympics,NA,
PBB,Pittsburgh Burghers,N,
PBG,Philadelphia Bacharach Giants,N,
PBK,Pittsburgh Keystones,N,
PBS,Pittsburgh Rebels,N,
PC,Pittsburgh Crawfords,N,
PG,Philadelphia Giants,N,
PHA,Philadelphia Athletics,N,
PHI,Philadelphia Phillies,Y,
PHK,Philadelphia Keystones,N,
PHQ,Philadelphia Athletics,N,
PIT,Pittsburgh Pirates,Y,
PNA,Philadelphia Athletics,NA,ATH
PRO,Providence Grays,N,
PS,Philadelphia Stars,N,
PTG,Philadelphia Tigers,N,
PWS,Philadelphia White Stockings,NA,
QG,Philadelphia Quaker Giants,N,
RES,Elizabeth Resolutes,NA,
RIC,Richmond Virginians,N,
ROC,Rochester Broncos,N,
ROK,Rockford Forest Citys,NA,
SBS,St. Louis Brown Stockings,N,SNA
SC1,Stars of Cuba,N,
SDP,San Diego Padres,Y,
SEA,Seattle Mariners,Y,
SEN,Washington Black Senators,N,
SFG,San Francisco Giants,Y,
SL2,St. Louis Stars,N,
SLI,St. Louis Terriers,N,
SLM,St. Louis Maroons,N,
SLR,St. Louis Red Stockings,NA,
SLS,St. Louis Stars,N,
SNA,St. Louis Brown Stockings,NA,SBS
SNH,St. Louis-New Orleans Stars,N,
SPG,St. Paul Gophers,N,
STL,St. Louis Cardinals,Y,
STP,St. Paul Apostles,N,
SYR,Syracuse Stars,N,
SYS,Syracuse Stars,N,
TBD,Tampa Bay Rays,Y,
TEX,Texas Rangers,Y,
TLM,Toledo Maumees,N,
TOL,Toledo Blue Stockings,N,
TOR,Toronto Blue Jays,Y,
TRO,Troy Haymakers,NA,
TRT,Troy Trojans,N,
TT,Toledo Tigers,N,
WAP,Washington Pilots,N,
WAS,Washington Senators,N,
WBL,Washington Blue Legs,NA,
WBS,West Baden Sprudels,N,
WES,Keokuk Westerns,NA,
WIL,Wilmington Quicksteps,N,
WNA,Washington Nationals,N,
WNL,Washington Nationals,N,
WNT,Washington Nationals,NA,
WOR,Worcester Ruby Legs,N,
WP,Washington Potomacs,N,
WSN,Washington Nationals,Y,
WST,Washington Statesmen,N,
